critical_level,violation_description,violation_date
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/05/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/23/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",03/08/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/07/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,08/16/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/25/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",07/03/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10/17/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/30/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11/03/2017
C,Food Protection Certificate not held by supervisor of food operations.,06/13/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",06/06/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",05/29/2019
C,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,06/04/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",08/15/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",01/31/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/16/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12/04/2017
C,Hot food item not held at or above 140º F.,03/15/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",08/23/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",11/01/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/29/2019
C,Evidence of rats or live rats present in facility's food and/or non-food areas.,01/08/2019
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",02/03/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/08/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/07/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/10/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/31/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/29/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",01/23/2019
C,Food Protection Certificate not held by supervisor of food operations.,07/15/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",02/23/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",01/03/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/25/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11/26/2019
C,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",02/01/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/09/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/13/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,01/25/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/12/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",04/26/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,05/03/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/17/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",01/08/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",09/19/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/05/2017
C,Food Protection Certificate not held by supervisor of food operations.,01/14/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/14/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/28/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/14/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",05/22/2019
